Age,Year,Population,Life_Expectancy,Retirement_age,Contribution_rate,1999_dummy,Reference_amount_1984,Birth_Year,Revaleurisation_rate,Adjustment_factor_1984,Salary,Income_per_year
16,1987,4988.0,59.3,62.1,0.24,0,2085,1971,1.044,1.0456090848116195,1225.890025738783,1279.8291868712895
16,1988,4813.6,59.9,62.1,0.24,0,2085,1972,1.057,1.0522237898096538,1210.8128541828662,1279.8291868712895
16,1989,4613.4,59.9,62.1,0.24,0,2085,1973,1.088,1.0783588130536346,1176.3135908743468,1279.8291868712895
16,1990,4489.0,60.5,62.1,0.24,0,2085,1974,1.103,1.1212618821842404,1160.3165792124112,1279.8291868712895
16,1991,4398.8,60.7,62.1,0.24,0,2085,1975,1.129,1.1620140157735273,1204.8596761013046,1360.286574318373
16,1992,4304.6,60.3,62.2,0.24,0,2085,1976,1.14,1.1959432893123945,1276.860579825627,1455.6210610012145
16,1993,4284.0,60.8,60.8,0.24,0,2085,1977,1.164,1.2380831232509193,1325.535340698071,1542.9231365725545
16,1994,4327.8,61.3,61.8,0.24,0,2085,1978,1.183,1.2707634664754726,1360.0651513831783,1608.9570740863
16,1995,4412.0,61.5,62.0,0.24,0,2085,1979,1.202,1.2978698799639197,1364.2279056022023,1639.801942533847
16,1996,4488.6,61.4,61.8,0.24,0,2085,1980,1.211,1.3125563753266878,1392.4976037642593,1686.3145981585183
16,1997,4590.2,61.6,61.8,0.24,0,2085,1981,1.218,1.3345282975229549,1433.078194236168,1745.4892405796525
16,1998,4648.8,62.0,61.9,0.24,0,2085,1982,1.233,1.3534935356292066,1442.5622966057267,1778.6793117148611
16,1999,4713.0,62.6,62.3,0.24,0,2085,1983,1.255,1.3351990193584198,1486.901382825042,1866.0612354454277
16,2000,4761.8,62.6,62.4,0.24,1,2085,1984,1.277,1.3769225431921734,1555.3732481695279,1986.211637912487
16,2001,4955.8,62.8,62.5,0.24,1,2085,1985,1.299,1.4168883132502255,1574.4105720867822,2045.15933314073
16,2002,4977.0,62.8,62.2,0.24,1,2085,1986,1.316,1.4497074265097023,1608.496442515342,2116.7813183501903
16,2003,5032.4,62.4,62.0,0.24,1,2085,1987,1.325,1.483197261604644,1625.0559157295866,2153.199088341702
16,2004,5179.8,63.7,61.7,0.24,1,2085,1988,1.337,1.5123158405994865,1666.963905287661,2228.7307413696026
16,2005,5292.8,64.0,61.6,0.24,1,2085,1989,1.35,1.542058884751486,1713.1737267276003,2312.7845310822604
16,2006,5475.2,63.7,61.5,0.24,1,2085,1990,1.368,1.586095242500636,1755.008773385997,2400.8520019920443
16,2007,5579.2,63.9,61.5,0.24,1,2085,1991,1.377,1.6211578046580477,1829.333144923819,2518.9917405600986
16,2008,5724.6,65.0,61.4,0.24,1,2085,1992,1.391,1.6740060596248583,1856.9440907314913,2583.0092302075045
16,2009,5827.6,65.2,61.4,0.24,1,2085,1993,1.403,1.6823785183985938,1878.0077693375617,2634.844900380599
16,2010,5960.8,65.2,61.3,0.24,1,2085,1994,1.418,1.7167472303813862,1897.089918626533,2690.0735046124237
16,2011,6077.0,65.5,61.4,0.24,1,2085,1995,1.424,1.7706131322709715,1955.7465693676286,2784.983114779503
16,2012,6311.4,65.7,61.7,0.24,1,2085,1996,1.42,1.821796146818697,1982.8808003834677,2815.690736544524
16,2013,6426.6,66.3,61.6,0.24,1,2085,1997,1.426,1.859079029534889,2029.5159655472826,2894.0897668704247
16,2014,6490.2,66.7,61.6,0.24,1,2085,1998,1.433,1.8875500150334203,2066.941674733144,2961.927419892595
16,2015,6517.8,66.7,61.6,0.24,1,2085,1999,1.446,1.8798714064343038,2077.7018932886917,3004.3569376954483
16,2016,6637.2,67.1,61.6,0.24,1,2085,2000,1.45,1.889145870435044,2081.831712630628,3018.6559833144106
16,2017,6649.6,66.5,61.8,0.24,1,2085,2001,1.462,1.921109235145824,2136.8246329627646,3124.037613391562
16,2018,6622.6,66.8,61.7,0.24,1,2085,2002,1.484,1.9427342322547818,2156.289096458779,3199.9330191448284
16,2019,6641.2,67.1,61.7,0.24,1,2085,2003,1.503,1.9783287462127344,2161.476165732873,3248.698677096508
16,2020,6666.2,66.6,61.7,0.24,1,2085,2004,1.52,2.0156347572680806,2178.344614159182,3311.083813521957
16,2021,6614.2,67.0,61.6,0.24,1,2085,2005,1.553,2.0469967851608573,2264.812251907352,3517.253427212118
16,2022,6688.4,67.4,61.6,0.24,1,2085,2006,1.57,2.1184864814857645,2353.4332113621354,3694.8901418385526
16,2023,6854.4,67.8,61.4,0.24,1,2085,2007,1.595,2.2194416818928233,2486.5917246055774,3966.113800745896
16,2024,7014.8,67.8,61.4,0.24,1,2085,2008,1.595,2.270948493188704,2573.543759114437,4104.802295787526
16,2025,7153.0,67.8,61.4,0.24,1,2085,2009,1.595,2.270948493188704,2663.5363636655816,4248.340500046603
16,2026,7177.0,67.8,61.4,0.24,1,2085,2010,1.595,2.270948493188704,2756.675862006745,4396.897999900758
16,2027,7414.0,67.8,61.4,0.24,1,2085,2011,1.595,2.270948493188704,2853.072295852744,4550.650311885127
16,2028,7222.0,67.8,61.4,0.24,1,2085,2012,1.595,2.270948493188704,2952.839554896691,4709.779090060222
16,2029,7469.0,67.8,61.4,0.24,1,2085,2013,1.595,2.270948493188704,3056.0955113674822,4874.472340631134
16,2030,7620.0,67.8,61.4,0.24,1,2085,2014,1.595,2.270948493188704,3162.9621592925437,5044.924644071607
16,2031,7731.0,67.8,61.4,0.24,1,2085,2015,1.595,2.270948493188704,3273.565758630366,5221.337385015434
16,2032,7621.0,67.8,61.4,0.24,1,2085,2016,1.595,2.270948493188704,3388.0369844431198,5403.918990186776
16,2033,7663.0,67.8,61.4,0.24,1,2085,2017,1.595,2.270948493188704,3506.5110812855833,5592.885174650505
16,2034,7740.0,67.8,61.4,0.24,1,2085,2018,1.595,2.270948493188704,3629.1280229928134,5788.459196673537
16,2035,7766.0,67.8,61.4,0.24,1,2085,2019,1.595,2.270948493188704,3756.032678055314,5990.872121498226
16,2036,7770.0,67.8,61.4,0.24,1,2085,2020,1.595,2.270948493188704,3887.3749807771146,6200.363094339497
16,2037,7838.0,67.8,61.4,0.24,1,2085,2021,1.595,2.270948493188704,4023.310108418957,6417.179622928236
16,2038,8004.0,67.8,61.4,0.24,1,2085,2022,1.595,2.270948493188704,4163.998664535896,6641.577869934754
16,2039,8054.0,67.8,61.4,0.24,1,2085,2023,1.595,2.270948493188704,4309.606868725911,6873.822955617828
16,2040,8410.0,67.8,61.4,0.24,1,2085,2024,1.595,2.270948493188704,4460.306753013716,7114.189271056876
16,2041,8516.0,67.8,61.4,0.24,1,2085,2025,1.595,2.270948493188704,4616.27636510179,7362.960802337355
16,2042,8588.0,67.8,61.4,0.24,1,2085,2026,1.595,2.270948493188704,4777.699978728765,7620.431466072379
16,2043,8647.0,67.8,61.4,0.24,1,2085,2027,1.595,2.270948493188704,4944.768311383694,7886.905456656992
16,2044,8694.0,67.8,61.4,0.24,1,2085,2028,1.595,2.270948493188704,5117.678749633444,8162.697605665342
16,2045,8733.0,67.8,61.4,0.24,1,2085,2029,1.595,2.270948493188704,5296.635582329397,8448.133753815388
16,2046,8759.0,67.8,61.4,0.24,1,2085,2030,1.595,2.270948493188704,5481.850241969033,8743.551135940608
16,2047,8771.0,67.8,61.4,0.24,1,2085,2031,1.595,2.270948493188704,5673.54155449751,9049.298779423529
16,2048,8769.0,67.8,61.4,0.24,1,2085,2032,1.595,2.270948493188704,5871.935997844404,9365.737916561824
16,2049,8758.0,67.8,61.4,0.24,1,2085,2033,1.595,2.270948493188704,6077.267969501056,9693.242411354184
